"",sel,title,artist,"top genre",year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,"",Firework,"Katy Perry","dance pop",2012,"2016-12-03",124,83,64,-5,8,65,228,14,5,73
2,"","When the Sun Hits",Slowdive,"alternative rock",1993,"2016-12-03",94,53,33,-12,10,22,286,0,3,64
3,"","Over the Hills and Far Away - Remaster","Led Zeppelin","album rock",1973,"2016-12-03",97,69,40,-10,10,21,291,7,7,62
4,"",Sugar,"Maroon 5",pop,2015,"2016-12-03",120,79,75,-7,9,88,235,6,3,61
5,"",Bloodhail,"Have A Nice Life",blackgaze,2008,"2016-12-03",76,61,18,-10,17,41,338,3,3,59
6,"","Over The Hills And Far Away",Nightwish,"finnish metal",2001,"2016-12-03",102,92,22,-3,9,38,302,0,7,55
7,"",Incinerate,"Sonic Youth","alternative rock",2006,"2016-12-03",152,85,44,-8,14,47,296,8,3,53
8,"","Disco Science",Mirwais,"big beat",2000,"2016-12-03",105,64,71,-6,5,58,218,1,5,47
9,"","Machine Gun",Slowdive,"alternative rock",1993,"2016-12-03",155,49,18,-14,11,5,267,16,4,47
10,"","Theme For Great Cities","Simple Minds","art rock",1981,"2016-12-03",122,81,54,-13,12,68,352,6,4,47
11,"","Code Blue","T.S.O.L.","hardcore punk",1981,"2016-12-03",136,98,19,-3,40,34,129,1,10,46
12,"","I Go to Sleep",Anika,"art pop",2010,"2016-12-03",141,49,56,-7,8,16,202,2,3,45
13,"","Ziggy Stardust",Bauhaus,"alternative rock",1982,"2016-12-03",175,70,24,-12,12,54,193,0,5,44
14,"","Girl And The Sea","The Presets","alternative dance",2005,"2016-12-03",126,58,74,-6,3,97,286,4,4,43
15,"","Death Whispered a Lullaby",Opeth,"alternative metal",2003,"2016-12-03",150,45,57,-7,9,14,350,2,3,43
16,"",Assimilate,"Skinny Puppy","dark wave",1985,"2016-12-03",137,70,61,-13,8,30,417,1,4,42
17,"","Big Orgus - Original 2003","DJ Furax","belgian dance",2013,"2016-12-03",140,81,84,-10,27,40,222,1,9,42
18,"","Nawwâr","Le Trio Joubran","arab folk",2011,"2016-12-03",101,81,42,-7,5,61,280,60,4,38
19,"","Ghost In The Circuit","Velvet Acid Christ",aggrotech,2006,"2016-12-03",80,57,60,-10,10,18,346,42,2,38
20,"","Over The Hills And Far Away","Gary Moore","album rock",1998,"2016-12-03",183,95,18,-6,12,26,321,0,20,37
21,"","Red Shadows","T.S.O.L.","hardcore punk",1984,"2016-12-03",95,75,28,-5,40,33,226,0,4,37
22,"",Mondlicht,"Xmal Deutschland","dark post-punk",1984,"2016-12-03",135,66,40,-14,24,29,303,23,4,37
23,"","Cavity - First Communion","Christian Death","dark wave",1982,"2016-12-03",170,86,15,-9,27,6,247,5,8,34
24,"","Run Into Flowers",M83,"french shoegaze",2003,"2016-12-03",120,86,42,-4,26,6,249,0,4,33
25,"","Minus All","Imperative Reaction",aggrotech,2008,"2016-12-03",130,93,62,-5,8,63,306,0,8,32
26,"","Les voyages de l'âme",Alcest,"atmospheric black metal",2012,"2016-12-03",124,82,18,-6,7,22,419,0,5,32
27,"","This Big Hush",Shriekback,"new romantic",1985,"2016-12-03",110,27,56,-20,7,49,370,47,3,32
28,"","Pulse/ Surreal","Lantlôs","atmospheric black metal",2010,"2016-12-03",120,68,20,-9,11,21,504,0,5,32
29,"","State of Perfection",Biomekkanik,futurepop,2009,"2016-12-03",130,97,61,-7,16,90,269,0,3,32
30,"","Underworld USA","Cold Cave","alternative dance",2011,"2016-12-03",110,97,55,-2,10,22,299,0,14,32
31,"",Moya,"The Southern Death Cult","gothic rock",1983,"2016-12-03",137,96,47,-11,6,41,281,6,6,31
32,"","Send Me An Angel '89 - Extended Mix","Real Life","new romantic",1989,"2016-12-03",131,89,65,-10,5,87,377,7,3,31
33,"","From This Point On","Soft Kill","dark post-punk",2011,"2016-12-03",148,84,60,-9,11,65,233,1,3,31
34,"","Rouge City","Velvet Condom","dark post-punk",2011,"2016-12-03",129,59,70,-9,8,49,281,1,5,30
35,"",Hurricane,Tapps,freestyle,2011,"2016-12-03",136,90,66,-6,22,93,383,0,4,29
36,"","Les iris",Alcest,"atmospheric black metal",2007,"2016-12-03",144,77,13,-7,30,16,461,0,5,29
37,"","I Walk The Line","Alien Sex Fiend","dark wave",2001,"2016-12-03",124,81,57,-11,7,40,295,3,8,28
38,"","Hay un hombre en mi nevera","Glutamato Ye Ye","spanish new wave",1982,"2016-12-03",144,47,49,-15,9,63,209,14,6,27
39,"","Hold Your Colour - Live at Brixton Academy",Pendulum,"australian dance",2009,"2016-12-03",174,89,34,-6,97,6,434,0,7,25
40,"",Slow,"Twin Shadow","alternative dance",2010,"2016-12-03",142,91,58,-7,18,79,234,1,4,25
41,"","City Noise","Scarling.","noise pop",2005,"2016-12-03",131,90,45,-5,3,37,197,0,8,25
42,"","It's Kinda Funny","Josef K","post-punk",1981,"2016-12-03",100,72,40,-7,15,48,211,1,3,24
43,"","Teargas - Live",Katatonia,"doom metal",2015,"2016-12-03",127,66,27,-7,67,27,190,11,4,24
44,"","In The Year 2525",Visage,"early synthpop",2000,"2016-12-03",129,56,69,-16,15,55,221,8,4,24
45,"","Put the Gun on the Floor","Big Black Delta","shimmer pop",2013,"2016-12-03",130,79,56,-7,11,6,219,0,4,24
46,"","Love In Chains",Tiamat,"doom metal",2004,"2016-12-03",94,67,51,-9,34,50,264,0,3,22
47,"","Hope Dies Painless",Rome,"luxembourgian indie",2010,"2016-12-03",97,53,62,-14,17,13,368,42,4,21
48,"","To Have and Have Not",Tiamat,"doom metal",1999,"2016-12-03",124,54,58,-7,10,27,309,0,3,21
49,"","Walter White","Above & Beyond",edm,2013,"2016-12-03",130,75,63,-7,7,23,333,0,4,21
50,"",Stalkers,"Mind.in.a.box",cyberpunk,2007,"2016-12-03",109,75,56,-8,12,36,373,12,3,21
51,"","False Pretense","God Module",aggrotech,2005,"2016-12-03",135,90,53,-7,14,40,300,0,3,20
52,"","Sleeping (In the Fire)",Tiamat,"doom metal",2004,"2016-12-03",92,70,43,-6,9,22,230,0,3,19
53,"","Faded Flowers",Shriekback,"new romantic",1985,"2016-12-03",107,27,56,-19,6,24,223,74,4,17
54,"","Omerta - Live",Katatonia,"doom metal",2015,"2016-12-03",122,83,37,-8,15,63,217,48,14,17
